地域,所在地都道府県,所在地市区町村,区,種別,公園名,所在地,緯度,経度
九州,福岡県,福岡市,東区,街区,土井サヤ公園,土井四丁目725-30,33.63718284,130.46933103
九州,福岡県,福岡市,東区,街区,美和台新町東公園,美和台新町714-10，714-11,33.70799816,130.42813446
九州,福岡県,福岡市,東区,街区,美和台新町公園,美和台新町701-4,33.70891429,130.4262484
九州,福岡県,福岡市,東区,街区,勝馬公園,大字勝馬1617-1,33.68286367,130.29675315
九州,福岡県,福岡市,東区,街区,地蔵松原南公園,筥松三丁目3，4,33.62796887,130.42802238
九州,福岡県,福岡市,東区,街区,塩浜西公園,奈多一丁目381-2,33.69107806,130.41851476
九州,福岡県,福岡市,東区,街区,下原西公園,下原五丁目73-112,33.67497243,130.44962198
九州,福岡県,福岡市,東区,街区,尾崎池公園,香椎駅東一丁目593,33.66081639,130.4488255
九州,福岡県,福岡市,東区,街区,青葉台東公園,青葉三丁目547-128,33.64175492,130.46391465
九州,福岡県,福岡市,東区,街区,筥松新町公園,筥松新町1076-1,33.61322516,130.43801335
九州,福岡県,福岡市,東区,街区,水谷公園,水谷二丁目2876,33.65107303,130.44288409
九州,福岡県,福岡市,東区,街区,西戸崎東公園,西戸崎一丁目91-13,33.64910253,130.3578245
九州,福岡県,福岡市,東区,街区,竜化池公園,和白丘四丁目226-1，226-4，226-5,33.70060389,130.43619815
九州,福岡県,福岡市,東区,街区,名島渡場公園,名島四丁目1970-20,33.63744387,130.43179064
九州,福岡県,福岡市,東区,街区,筥松北公園,筥松二丁目11,33.61991197,130.42797986
九州,福岡県,福岡市,東区,街区,青葉山手公園,青葉四丁目529-10,33.64890488,130.46557323
九州,福岡県,福岡市,東区,街区,馬出御所ノ内公園,馬出五丁目723,33.6121136,130.4248323
九州,福岡県,福岡市,東区,街区,照葉の森公園,香椎照葉一丁目24-24,33.66332131,130.4255991
九州,福岡県,福岡市,東区,街区,蒲田中公園,"蒲田二丁目1089-1,1089-1地先，1090-1，1090-1地先，1091-1",33.63528573,130.484376
九州,福岡県,福岡市,東区,街区,千早北公園,千早五丁目2341,33.65490361,130.44108569
九州,福岡県,福岡市,東区,街区,千早南公園,千早四丁目2862,33.64454699,130.43475114
九州,福岡県,福岡市,東区,街区,和白東公園,和白東一丁目1241-1，1237-2，1241-3，1241-4，1241-5，1242-2，1248-1，1249-1，1253-28，1253-30,33.688,130.43680911
九州,福岡県,福岡市,東区,街区,香椎照葉北公園,香椎照葉七丁目27-8,33.66733559,130.4254809
九州,福岡県,福岡市,東区,街区,松崎中公園,松崎四丁目520-8,33.64111067,130.43945818
九州,福岡県,福岡市,東区,街区,松崎北公園,松崎四丁目2829,33.64702179,130.43962893
九州,福岡県,福岡市,東区,街区,千早中公園,千早五丁目2329,33.65189106,130.44072471
九州,福岡県,福岡市,東区,街区,筥松南公園,"筥松二丁目52,53",33.61785031,130.42732067
九州,福岡県,福岡市,東区,街区,箱崎米一丸公園,箱崎六丁目7，8,33.62362517,130.42739982
九州,福岡県,福岡市,東区,幼児,龍化公園,和白丘四丁目217-30,33.70115608,130.43561193
九州,福岡県,福岡市,東区,幼児,大牟田東町公園,舞松原一丁目60-514,33.64067667,130.45054609
九州,福岡県,福岡市,南区,幼児,新開公園,若久六丁目857,33.54564298,130.41517937
九州,福岡県,福岡市,東区,幼児,松香台公園,松香台一丁目342-5,33.66434797,130.44573359
九州,福岡県,福岡市,東区,幼児,香椎ヶ丘１号公園,舞松原三丁目155-166,33.64523873,130.44745517
九州,福岡県,福岡市,東区,幼児,香椎ヶ丘３号公園,舞松原三丁目107-172,33.64516644,130.44838521
九州,福岡県,福岡市,東区,幼児,青葉台西公園,青葉三丁目379-125,33.64326291,130.46175215
九州,福岡県,福岡市,東区,幼児,大牟田公園,舞松原六丁目60-604,33.64289216,130.45097035
九州,福岡県,福岡市,東区,幼児,古田開公園,和白丘二丁目636-43,33.69272269,130.4320921
九州,福岡県,福岡市,東区,幼児,土井団地中公園,青葉七丁目821-44,33.64107826,130.46732253
九州,福岡県,福岡市,東区,幼児,船頭町公園,名島二丁目2166-3,33.64292557,130.42869991
九州,福岡県,福岡市,東区,幼児,飛山公園,和白丘三丁目715-53,33.70055451,130.43405613
九州,福岡県,福岡市,東区,幼児,裏の前公園,和白東二丁目507-68,33.69216047,130.43670028
九州,福岡県,福岡市,東区,幼児,正水公園,名島四丁目908-7,33.63926307,130.43669434
九州,福岡県,福岡市,東区,幼児,八尻公園,下原二丁目1330-44,33.66993185,130.45737617
九州,福岡県,福岡市,東区,幼児,登り新開公園,原田四丁目59-6,33.62503475,130.44376714
九州,福岡県,福岡市,東区,幼児,蔵谷公園,香椎六丁目1975-25,33.6467321,130.45485279
九州,福岡県,福岡市,東区,幼児,龍化２号公園,和白丘四丁目216-5,33.70243313,130.43539426
九州,福岡県,福岡市,東区,幼児,土井台１号公園,青葉七丁目888-176,33.6409658,130.4693805
九州,福岡県,福岡市,東区,幼児,不動ヶ浦公園,香椎六丁目1934-57,33.6469254,130.45649838
九州,福岡県,福岡市,東区,幼児,高又公園,名島四丁目2643-20,33.6415441,130.43270504
九州,福岡県,福岡市,東区,幼児,青葉１号公園,青葉七丁目809-146,33.63837958,130.46656068
九州,福岡県,福岡市,東区,幼児,龍化３号公園,和白丘四丁目215-17,33.70188897,130.43660629
九州,福岡県,福岡市,東区,幼児,坂本町公園,筥松四丁目4038,33.63076744,130.42855187
